,Datum
874,2020-06-26
875,2020-06-29
876,2020-06-30
877,2020-07-01
878,2020-07-02
879,2020-07-03
880,2020-07-07
881,2020-07-08
882,2020-07-09
883,2020-07-10
884,2020-07-13
885,2020-07-14
886,2020-07-15
887,2020-07-16
888,2020-07-17
889,2020-07-20
890,2020-07-21
891,2020-07-22
892,2020-07-23
893,2020-07-24
894,2020-07-27
895,2020-07-28
896,2020-07-29
897,2020-07-30
898,2020-07-31
899,2020-08-03
900,2020-08-04
901,2020-08-05
902,2020-08-06
903,2020-08-07
904,2020-08-10
905,2020-08-11
906,2020-08-12
907,2020-08-13
908,2020-08-14
909,2020-08-17
910,2020-08-18
911,2020-08-19
912,2020-08-20
913,2020-08-21
914,2020-08-24
915,2020-08-25
916,2020-08-26
917,2020-08-27
918,2020-08-28
919,2020-08-31
920,2020-09-01
921,2020-09-02
922,2020-09-03
923,2020-09-04
924,2020-09-07
925,2020-09-08
926,2020-09-09
927,2020-09-10
928,2020-09-11
929,2020-09-14
930,2020-09-15
931,2020-09-16
932,2020-09-17
933,2020-09-18
934,2020-09-21
935,2020-09-22
936,2020-09-23
937,2020-09-24
938,2020-09-25
939,2020-09-29
940,2020-09-30
941,2020-10-01
942,2020-10-02
943,2020-10-05
944,2020-10-06
945,2020-10-07
946,2020-10-08
947,2020-10-09
948,2020-10-12
949,2020-10-13
950,2020-10-14
951,2020-10-15
952,2020-10-16
953,2020-10-19
954,2020-10-20
955,2020-10-21
956,2020-10-22
957,2020-10-23
958,2020-10-26
959,2020-10-27
960,2020-10-29
961,2020-10-30
962,2020-11-02
963,2020-11-03
964,2020-11-04
965,2020-11-05
966,2020-11-06
967,2020-11-09
968,2020-11-10
969,2020-11-11
970,2020-11-12
971,2020-11-13
972,2020-11-16
973,2020-11-18
974,2020-11-19
975,2020-11-20
976,2020-11-23
977,2020-11-24
978,2020-11-25
979,2020-11-26
980,2020-11-27
981,2020-11-30
982,2020-12-01
983,2020-12-02
984,2020-12-03
985,2020-12-04
986,2020-12-07
987,2020-12-08
988,2020-12-09
989,2020-12-10
990,2020-12-11
991,2020-12-14
992,2020-12-15
993,2020-12-16
994,2020-12-17
995,2020-12-18
996,2020-12-21
997,2020-12-22
998,2020-12-23
999,2020-12-28
1000,2020-12-29
1001,2020-12-30
1002,2020-12-31
1003,2021-01-04
1004,2021-01-05
1005,2021-01-06
1006,2021-01-07
1007,2021-01-08
1008,2021-01-11
1009,2021-01-12
1010,2021-01-13
1011,2021-01-14
1012,2021-01-15
1013,2021-01-18
1014,2021-01-19
1015,2021-01-20
1016,2021-01-21
1017,2021-01-22
1018,2021-01-25
1019,2021-01-26
1020,2021-01-27
1021,2021-01-28
1022,2021-01-29
1023,2021-02-01
1024,2021-02-02
1025,2021-02-03
1026,2021-02-04
1027,2021-02-05
1028,2021-02-08
1029,2021-02-09
1030,2021-02-10
1031,2021-02-11
1032,2021-02-12
1033,2021-02-15
1034,2021-02-16
1035,2021-02-17
1036,2021-02-18
1037,2021-02-19
1038,2021-02-22
1039,2021-02-23
1040,2021-02-24
1041,2021-02-25
1042,2021-02-26
1043,2021-03-01
1044,2021-03-02
1045,2021-03-03
1046,2021-03-04
1047,2021-03-05
1048,2021-03-08
1049,2021-03-09
1050,2021-03-10
1051,2021-03-11
1052,2021-03-12
1053,2021-03-15
1054,2021-03-16
1055,2021-03-17
1056,2021-03-18
1057,2021-03-19
1058,2021-03-22
1059,2021-03-23
1060,2021-03-24
1061,2021-03-25
1062,2021-03-26
1063,2021-03-29
1064,2021-03-30
1065,2021-03-31
1066,2021-04-01
1067,2021-04-06
1068,2021-04-07
1069,2021-04-08
1070,2021-04-09
1071,2021-04-12
1072,2021-04-13
1073,2021-04-14
1074,2021-04-15
1075,2021-04-16
1076,2021-04-19
1077,2021-04-20
1078,2021-04-21
1079,2021-04-22
1080,2021-04-23
1081,2021-04-26
1082,2021-04-27
1083,2021-04-28
